can_nam	vote_percent	tot_rec
"NADLER, JERROLD L. MR."	94.1	580097.4
"TAKANO, MARK"	94.16	702964.44
"MCKINLEY, DAVID B. MR."	94.18	750785.29
"STUTZMAN, MARLIN A"	94.27	630703.43
"TITUS, DINA"	94.27	465771.92
"COLE, TOM"	94.28	586075.63
"BISHOP, ROBERT"	94.29	155200.79
"SHEA-PORTER, CAROL"	94.31	534575.12
"LAMBORN, DOUGLAS L"	94.33	178607.95
"WESTMORELAND, LYNN A."	94.33	546171.92
"RANGEL, CHARLES B"	94.35	433508.8
"SERRANO, JOSE E."	94.39	53312.56
"DOYLE, MIKE"	94.4	439091.72
"PELOSI, NANCY"	94.44	1294719.87
"GOWDY, TREY"	94.45	403390.49
"BARTON, JOE LINUS"	94.46	643055.31
"CLEAVER II, EMANUEL"	94.47	382471.63
"HALL, RALPH MOODY"	94.47	387803.45
"HARRIS, ANDREW P"	94.49	664933.38
"CARTWRIGHT, MATT MR"	94.51	726363.41
"BUCHANAN, VERNON"	94.55	1147343.29
"CRENSHAW, ANDER"	94.59	338213.25
"DAVIS, DANNY K. MR."	94.59	277471.1
"SHIMKUS, JOHN M"	94.59	999365.83
"LOWENTHAL, ALAN"	94.61	450728.24
"HARPER, GREGG"	94.63	541967
"PERRY, SCOTT"	94.64	265122.6
"FORBES, J. RANDY"	94.65	589272.58
"KILDEE, DANIEL T."	94.65	347662.24
"PITTS, JOSEPH R"	94.68	572360.59
"VAN HOLLEN, CHRISTOPHER"	94.72	415586.32
"FRANKS, TRENT"	94.73	144118.85
"CAPPS, LOIS G"	94.74	986990.6
"FORTENBERRY, JEFFREY"	94.75	381124.93
"CUMMINGS, ELIJAH E"	94.76	598959.98
"HAHN, JANICE"	94.78	368171.83
"POCAN, MARK"	94.78	512591.55
"TSONGAS, NICOLA S"	94.78	541707.6
"PALAZZO, STEVEN MCCARTY"	94.79	316896.13
"SIMPSON, MICHAEL"	94.79	1712982.9
"WALDEN, GREGORY P MR."	94.84	1680114.23
"MARINO, THOMAS ANTHONY"	94.85	425283.18
"COOK, PAUL"	94.86	408241.78
"MEADOWS, MARK R"	94.86	168856.33
"ROGERS, HAROLD D"	94.86	711929.91
"LARSON, JOHN B"	94.91	789113.71
"WHITFIELD, EDWARD"	94.92	928464.44
"CLAY, WILLIAM LACY JR"	94.94	344704
"BROWN, CORRINE"	94.95	202792.36
"FATTAH, CHAKA MR."	94.95	226625.88
"NOEM, KRISTI LYNN"	94.96	1256447.71
"FRANKEL, LOIS J."	94.98	767421.85
"ROE, DAVID PHILLIP DR."	94.98	348672.61
"HUNTER, DUNCAN D."	94.99	700188.45
"ENGEL, ELIOT L. REP."	95.01	587470
"BARLETTA, LOU"	95.03	606633.15
"YARMUTH, JOHN A"	95.03	350636.98
"LUCAS, FRANK D."	95.04	744858.25
"PRICE, DAVID E."	95.04	328632.71
"DEGETTE, DIANA L."	95.11	579564.62
"PASCRELL, WILLIAM J. HON. JR."	95.12	813683.56
"ROYBAL-ALLARD, LUCILLE"	95.13	205852.9
"HIGGINS, BRIAN"	95.15	522724.8
"RICE, TOM"	95.15	573048.65
"TONKO, PAUL DAVID"	95.15	459522.31
"CICILLINE, DAVID N"	95.16	753530.4
"DEUTCH, THEODORE ELIOT"	95.16	617980.57
"ESHOO, ANNA"	95.18	619467.76
"DESJARLAIS, SCOTT EUGENE"	95.2	283548.83
"KENNEDY, JOSEPH P III"	95.2	1367691.12
"HARTZLER, VICKY"	95.21	512797.38
"ROGERS, MICHAEL"	95.25	462195.33
"BARR, GARLAND ANDY"""""	95.26	1315521.93
"BECERRA, XAVIER"	95.26	811304.13
"QUIGLEY, MIKE"	95.28	476100.69
"KELLY, ROBIN L."	95.31	938358.02
"CALVERT, KEN"	95.35	544555.09
"SCOTT, ROBERT C."	95.35	107962.18
"MULLIN, MARKWAYNE MR."	95.36	539396.83
"ADERHOLT, ROBERT B. REP."	95.38	654980.79
"CRAWFORD, ERIC ALAN RICK"	95.38	431898.62
"MICA, JOHN L. MR."	95.41	382045.7
"DAVIS, SUSAN"	95.42	240260.01
"BEATTY, JOYCE"	95.45	359821.49
"SOUTHERLAND, WILLIAM STEVE II"	95.51	1036887.05
"FARENTHOLD, RANDOLPH BLAKE"	95.52	534712.15
"BONAMICI, SUZANNE MS."	95.53	453575
"CHABOT, STEVE"	95.53	454739.06
"AMODEI, MARK EUGENE"	95.54	197462.9
"GOODLATTE, ROBERT W."	95.6	1131826.94
"FINCHER, STEVE MR."	95.62	1018620.02
"BOUSTANY, CHARLES W. DR. JR."	95.63	1016711.73
"ROBY, MARTHA"	95.63	607275.35
"DELAURO, ROSA L"	95.7	734417.83
"SHUSTER, WILLIAM MR."	95.7	2081412.79
"SCALISE, STEVE MR."	95.71	831692.26
"MURPHY, TIMOTHY"	95.74	836912.94
"NUNES, DEVIN G"	95.77	1017479.45
"WILSON, JOE THE HON."	95.77	523875.99
"CULBERSON, JOHN"	95.79	422729.75
"KING, STEVE MR."	95.8	521067.74
"UPTON, FREDERICK STEPHEN"	95.81	1487101.53
"WENSTRUP, BRAD R DR."	95.85	496470.87
"CARTER, JOHN R. REP."	95.89	439033.45
"MCCARTHY, KEVIN"	95.91	2600984.99
"ROYCE, ED MR."	95.95	1707250.17
"BILIRAKIS, GUS M"	95.96	486129.65
"ELLMERS, RENEE JACISIN"	95.96	585096.44
"SCHIFF, ADAM"	95.98	425684.73
"ISSA, DARRELL E"	96	2148937.23
"BRADY, KEVIN"	96.01	1309839.97
"KELLY, GEORGE J JR"	96.01	732793.58
"KLINE, JOHN PAUL JR"	96.01	1561389.93
"MCHENRY, PATRICK TIMOTHY"	96.04	675950.61
"ROKITA, THEODORE EDWARD"	96.05	697729.64
"HENSARLING, JEB HON."	96.13	2124113.3
"JOLLY, DAVID W."	96.15	1392555.55
"MILLER, CANDICE S."	96.15	445637.03
"ROTHFUS, KEITH MR."	96.15	1180479.57
"BLACKBURN, MARSHA MRS."	96.17	1014943.2
"STEWART, CHRIS"	96.2	417830.17
"BROOKS, SUSAN MRS."	96.28	709428.08
"SCOTT, JAMES AUSTIN"	96.34	615878.9
"HULTGREN, RANDY"	96.36	628730.7
"ROSKAM, PETER"	96.36	1874661.58
"POMPEO, MICHAEL R"	96.37	1206483.54
"WEBSTER, DANIEL"	96.37	513200.7
"NEUGEBAUER, RANDY HONORABLE"	96.38	1006619.65
"THORNBERRY, MAC"	96.38	832946.8
"WILSON, FREDERICA S"	96.45	142155
"GIBBS, ROBERT"	96.48	710591.23
"WALORSKI SWIHART, JACKIE"	96.48	901256.12
"ROSS, DENNIS ALAN"	96.49	548854
"YOUNG, TODD CHRISTOPHER"	96.49	1021204.91
"GRANGER, KAY"	96.51	706106.86
"MCMORRIS RODGERS, CATHY"	96.57	966694
"MESSER, ALLEN LUCAS"	96.59	580649.17
"HURT, ROBERT"	96.6	521934.15
"SESSIONS, PETE MR."	96.61	1490417.43
"LONG, BILLY"	96.78	618085.62
"COLLINS, CHRISTOPHER C"	96.81	498244.36
"OLSON, PETER G."	96.81	842202.7
"GUTHRIE, STEVEN BRETT"	96.86	1106878.01
"JOHNSON, SAM MR."	96.93	596222.14
"MCCAUL, MICHAEL"	96.93	904468.59
"BLACK, DIANE L MRS"	96.97	665610.32
"SMITH, ADRIAN"	96.97	442279.97
"CLARK, KATHERINE"	96.99	1555447.06
"FLEISCHMANN, CHARLES J"	96.99	592606.65
"LAMALFA, DOUG"	97	354303.04
"BUCSHON, LARRY D"	97.1	608721.17
"LUETKEMEYER, W BLAINE"	97.13	568469.03
"LATTA, ROBERT EDWARD MR"	97.14	532819.54
"NUNNELEE, PATRICK ALAN"	97.23	615468.01
"SMITH, LAMAR"	97.38	804408.75
"WOMACK, STEVE"	97.4	466265.28
"WILLIAMS, ROGER"	97.62	1104042.76
"WAGNER, ANN L."	97.7	1226940.01
